Source,Target,Type,Label,timeset,Weight,Source_modularity_class,Target_modularity_class,Same_modularity_class
70692318,49823379,Undirected,,,103,34,20,0
3943928,49823379,Undirected,,,105,34,20,0
26488442,17988709,Undirected,,,101,33,37,0
55193349,45267432,Undirected,,,100,50,20,0
16232239,25815160,Undirected,,,102,16,45,0
69218138,7131073,Undirected,,,106,41,21,0
9187304,10117728,Undirected,,,101,41,30,0
34484467,26958378,Undirected,,,101,45,36,0
34484467,42912261,Undirected,,,101,45,36,0
34484467,48717789,Undirected,,,105,45,36,0
34484467,61260809,Undirected,,,100,45,36,0
34484467,49657159,Undirected,,,102,45,36,0
34484467,23028197,Undirected,,,102,45,36,0
59912758,2581592,Undirected,,,107,49,45,0
20329118,7131073,Undirected,,,100,41,21,0
10531506,38595875,Undirected,,,100,25,30,0
28259053,7131073,Undirected,,,106,41,21,0
10499132,42950765,Undirected,,,125,45,28,0
2700354,25815160,Undirected,,,103,16,45,0
26817714,28723206,Undirected,,,103,7,20,0
49657159,14171256,Undirected,,,109,36,45,0
49657159,11199676,Undirected,,,110,36,45,0
49657159,42425473,Undirected,,,111,36,37,0
6567254,16904573,Undirected,,,101,48,51,0
6567254,68744999,Undirected,,,101,48,51,0
6567254,48492091,Undirected,,,100,48,51,0
25703792,7131073,Undirected,,,106,41,21,0
1029670,59200898,Undirected,,,105,20,18,0
73971260,25815160,Undirected,,,103,16,45,0
9320005,14171256,Undirected,,,106,36,45,0
9320005,11199676,Undirected,,,105,36,45,0
9320005,42425473,Undirected,,,106,36,37,0
64206432,67525346,Undirected,,,100,52,29,0
64206432,23743625,Undirected,,,100,52,32,0
63682362,58260222,Undirected,,,103,41,43,0
49919864,28723206,Undirected,,,100,7,20,0
37435283,42401070,Undirected,,,101,37,47,0
21313449,58260222,Undirected,,,103,41,43,0
43071436,7131073,Undirected,,,106,41,21,0
40613910,28723206,Undirected,,,101,7,20,0
6535284,24790590,Undirected,,,102,1,20,0
56768703,14346421,Undirected,,,100,51,49,0
69777726,25815160,Undirected,,,111,16,45,0
11319691,17065867,Undirected,,,101,36,47,0
77052466,24790590,Undirected,,,104,1,20,0
28260980,2581592,Undirected,,,107,49,45,0
54115225,16630037,Undirected,,,100,45,14,0
54115225,27251865,Undirected,,,101,45,14,0
61979667,2581592,Undirected,,,105,49,45,0
2866203,28723206,Undirected,,,101,7,20,0
74693669,2581592,Undirected,,,116,49,45,0
14171256,18833042,Undirected,,,108,45,36,0
14171256,71058049,Undirected,,,103,45,36,0
14171256,61260809,Undirected,,,109,45,36,0
14171256,15064033,Undirected,,,109,45,36,0
14171256,36204200,Undirected,,,107,45,36,0
14171256,26958378,Undirected,,,109,45,36,0
14171256,23028197,Undirected,,,109,45,36,0
14171256,42912261,Undirected,,,110,45,36,0
14171256,48717789,Undirected,,,113,45,36,0
44874873,24790590,Undirected,,,102,1,20,0
71220399,40662590,Undirected,,,100,29,45,0
66239716,2581592,Undirected,,,116,49,45,0
16956735,28723206,Undirected,,,100,7,20,0
8535410,49823379,Undirected,,,111,34,20,0
75972073,7131073,Undirected,,,107,41,21,0
49823379,34004170,Undirected,,,109,20,34,0
49823379,43601598,Undirected,,,104,20,34,0
49823379,17323029,Undirected,,,113,20,34,0
49823379,77712368,Undirected,,,107,20,34,0
49823379,27060985,Undirected,,,103,20,34,0
49823379,64740018,Undirected,,,107,20,34,0
49823379,5360014,Undirected,,,103,20,34,0
49823379,34963278,Undirected,,,113,20,34,0
42221299,23743625,Undirected,,,102,52,32,0
54050637,23743625,Undirected,,,101,52,32,0
66011093,28723206,Undirected,,,101,7,20,0
10305585,7131073,Undirected,,,101,41,21,0
21152064,24790590,Undirected,,,100,1,20,0
61882797,28723206,Undirected,,,108,7,20,0
29278643,11094493,Undirected,,,101,46,33,0
29278643,66831131,Undirected,,,100,46,33,0
29278643,48004478,Undirected,,,101,46,33,0
29278643,18630452,Undirected,,,100,46,33,0
7258657,7131073,Undirected,,,104,41,21,0
71058049,11199676,Undirected,,,104,36,45,0
71058049,42425473,Undirected,,,103,36,37,0
71287532,2581592,Undirected,,,110,49,45,0
24789760,28723206,Undirected,,,100,7,20,0
49071049,25815160,Undirected,,,100,16,45,0
61260809,11199676,Undirected,,,106,36,45,0
61260809,42425473,Undirected,,,108,36,37,0
69747768,25815160,Undirected,,,100,16,45,0
5293165,7131073,Undirected,,,100,41,21,0
17646771,2581592,Undirected,,,115,49,45,0
45172117,24790590,Undirected,,,100,1,20,0
71452109,53246010,Undirected,,,103,0,21,0
24790590,49444230,Undirected,,,100,20,1,0
24790590,44101700,Undirected,,,101,20,1,0
24790590,41114904,Undirected,,,114,20,1,0
24790590,313864,Undirected,,,101,20,1,0
24790590,52939823,Undirected,,,103,20,1,0
24790590,28531192,Undirected,,,106,20,1,0
24790590,77287168,Undirected,,,102,20,1,0
24790590,57728641,Undirected,,,109,20,1,0
24790590,15027277,Undirected,,,100,20,1,0
24790590,27911711,Undirected,,,103,20,1,0
30328442,25815160,Undirected,,,100,16,45,0
45369028,47999134,Undirected,,,100,23,19,0
46188326,49932328,Undirected,,,101,21,3,0
